"Item Type","Product ID","Product Type","Product SKU","Bin Picking Number","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Custom Item","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Name","Product URL","Redirect Old URL?","Brand","Option Set","Option Set Align","Brand + Name","Description","Price","Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping","Warranty","Weight","Width","Height","Depth","Allow Purchases","Product Visible","Product Not Visible","Product Availability","Product Inventoried","Track Inventory","Stock Level","Low Stock Level","Date Added","Date Modified","Category String","Category Details","Product Files","Product Images","Event Date Required","Event Date Name","Event Date Is Limited","Event Date Start Date","Event Date End Date","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Sort Order","Product Tax Class","Avalara Product Tax Code","Product UPC/EAN","Product Custom Fields","Stop Processing Rules"
"  Rule",664,,,,,,,,,,,,,,,,"[CS]Colours=Pink:#de3cde",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 664_source_1422483160.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/664_source_1422483160.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
"  Rule",665,,,,,,,,,,,,,,,,"[CS]Colours=Blue:#2be3e3",,,,,,,,,,,,,,,,,,,,0,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Product",336,"P","HC-N910-NOTE4-EUREKA",,,,,,,,,,,,,0,"Galaxy Note 4 - Eureka","/galaxy-note-4-eureka/",,,"Colours - Galaxy S5 Cases Covers - Hard Case Eureka","Right"," Galaxy Note 4 - Eureka","<p><strong>Key Features</strong></p> <ul> <li>Tough TPU and hard-plastic protective construction.</li> <li>An accurate and snug fit that protects&nbsp;the mobiles against shock and accidental dropping.</li> <li>Holds up to three credit cards in hidden compartment.</li> <li>Supplied with an optional mirror for back compartment.</li> <li>Inbuilt stand for typing and hands-free viewing.</li> <li>All controls, connection ports and functions of the&nbsp;mobiles are accessible when case fitted.</li> <li>Available in multiple colors with interchangeable coloured backs</li> </ul> <p><span>To purchase a different colour of back cover, email us :&nbsp;</span><a href=""mailto:sales@myhappytel.com.au?Subject=Inquiry%20for%20a%20Back%20Cover%20of%20Eureka%20Hard%20Case-MyHappytel"" target=""_top"">sales@myhappytel.com.au</a><br /><br /></p>",20,0,39,0,20,0,0,,10,0,0,0,1,1,0,,1,"by option",397,40,01/29/15,12/31/15,"Sale;Sale/April Event;PHONE CASES;PHONE CASES/Samsung;PHONE CASES/Samsung/Galaxy Note 4","Category ID: 15, Category Name: Sale, Category Path: Sale|Category ID: 183, Category Name: April Event, Category Path: Sale/April Event|Category ID: 219, Category Name: PHONE CASES, Category Path: PHONE CASES|Category ID: 221, Category Name: Samsung, Category Path: PHONE CASES/Samsung|Category ID: 243, Category Name: Galaxy Note 4, Category Path: PHONE CASES/Samsung/Galaxy Note 4",,"Product Image ID: 3361, Product Image File: HC_N910_Note4_Eureka_DSIL_02__03209.jpg, Product Image Path: k/744/HC_N910_Note4_Eureka_DSIL_02__03209.jpg, Product Image URL: http://www.happytel.com/product_images/k/744/HC_N910_Note4_Eureka_DSIL_02__03209.jpg, Product Image Description: Samsung Galaxy Note 4 Cases Covers - Hard Case Eureka with Opal Card Holder, Product Image Is Thumbnail: 0, Product Image Index: 3|Product Image ID: 3362, Product Image File: HC_N910_Note4_Eureka_DSIL_03__96737.jpg, Product Image Path: v/866/HC_N910_Note4_Eureka_DSIL_03__96737.jpg, Product Image URL: http://www.happytel.com/product_images/v/866/HC_N910_Note4_Eureka_DSIL_03__96737.jpg, Product Image Description: Samsung Galaxy Note 4 Cases Covers - Hard Case Eureka with Opal Card Holder, Product Image Is Thumbnail: 0, Product Image Index: 1|Product Image ID: 3363, Product Image File: HC_N910_Note4_Eureka_DSIL_04__31001.jpg, Product Image Path: g/186/HC_N910_Note4_Eureka_DSIL_04__31001.jpg, Product Image URL: http://www.happytel.com/product_images/g/186/HC_N910_Note4_Eureka_DSIL_04__31001.jpg, Product Image Description: Samsung Galaxy Note 4 Cases Covers - Hard Case Eureka with Opal Card Holder, Product Image Is Thumbnail: 0, Product Image Index: 0|Product Image ID: 3364, Product Image File: HC_N910_Note4_Eureka_HPK_01__13206.jpg, Product Image Path: k/303/HC_N910_Note4_Eureka_HPK_01__13206.jpg, Product Image URL: http://www.happytel.com/product_images/k/303/HC_N910_Note4_Eureka_HPK_01__13206.jpg, Product Image Description: Samsung Galaxy Note 4 Cases Covers - Hard Case Eureka with Opal Card Holder, Product Image Is Thumbnail: 0, Product Image Index: 4|Product Image ID: 3365, Product Image File: HC_N910_Note4_Eureka_GD_01__03790.jpg, Product Image Path: n/313/HC_N910_Note4_Eureka_GD_01__03790.jpg, Product Image URL: http://www.happytel.com/product_images/n/313/HC_N910_Note4_Eureka_GD_01__03790.jpg, Product Image Description: Samsung Galaxy Note 4 Cases Covers - Hard Case Eureka with Opal Card Holder, Product Image Is Thumbnail: 0, Product Image Index: 5|Product Image ID: 3366, Product Image File: HC_N910_Note4_Eureka_DSIL_01__58648.jpg, Product Image Path: p/553/HC_N910_Note4_Eureka_DSIL_01__58648.jpg, Product Image URL: http://www.happytel.com/product_images/p/553/HC_N910_Note4_Eureka_DSIL_01__58648.jpg, Product Image Description: Samsung Galaxy Note 4 Cases Covers - Hard Case Eureka with Opal Card Holder, Product Image Is Thumbnail: 0, Product Image Index: 2|Product Image ID: 3367, Product Image File: HC_N910_Note4_Eureka_EMGY_01__59166.jpg, Product Image Path: y/499/HC_N910_Note4_Eureka_EMGY_01__59166.jpg, Product Image URL: http://www.happytel.com/product_images/y/499/HC_N910_Note4_Eureka_EMGY_01__59166.jpg, Product Image Description: Samsung Galaxy Note 4 Cases Covers - Hard Case Eureka with Opal Card Holder, Product Image Is Thumbnail: 0, Product Image Index: 6|Product Image ID: 3368, Product Image File: HC_N910_Note4_Eureka_01__69101.jpg, Product Image Path: a/963/HC_N910_Note4_Eureka_01__69101.jpg, Product Image URL: http://www.happytel.com/product_images/a/963/HC_N910_Note4_Eureka_01__69101.jpg, Product Image Description: Samsung Galaxy Note 4 Cases Covers - Hard Case Eureka with Opal Card Holder, Product Image Is Thumbnail: 1, Product Image Index: 7",0,"Delivery Date",0,0,0,,,,,,,,"New",0,"Default Tax Class",,,,0
"  SKU",2386,,"S99057780",,,,,,,,,,,,,,"[CS]Colours=Metal Slate:#0f0d1f",,,,,,,,,0,,,,,,,,,,,,,,,,,99,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",2387,,"S99057770",,,,,,,,,,,,,,"[CS]Colours=Gold:#d6cc9a",,,,,,,,,0,,,,,,,,,,,,,,,,,98,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",2388,,"S99057775",,,,,,,,,,,,,,"[CS]Colours=Pink:#de3cde",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",2389,,"S99057765",,,,,,,,,,,,,,"[CS]Colours=Blue / Grey:#2be3e3|#cccccc",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",666,,,,,,,,,,,,,,,,"[CS]Colours=Metal Slate:#0f0d1f",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 666_source_1422483612.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/666_source_1422483612.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
"  Rule",667,,,,,,,,,,,,,,,,"[CS]Colours=Gold:#d6cc9a",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 667_source_1422483626.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/667_source_1422483626.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
"  Rule",668,,,,,,,,,,,,,,,,"[CS]Colours=Blue / Grey:#2be3e3|#cccccc",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 668_source_1422483636.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/668_source_1422483636.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
"  Rule",669,,,,,,,,,,,,,,,,"[CS]Colours=Pink:#de3cde",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 669_source_1422483646.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/669_source_1422483646.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
"  Rule",670,,,,,,,,,,,,,,,,"[CS]Colours=Blue:#2be3e3",,,,,,,,,,,,,,,,,,,,0,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Product",337,"P","LC-IP6P-EROS",,,,,,,,,,,,,0,"iPhone 6 Plus - Eros Case","/iphone-6-plus-eros-case/",,,"Colours - iPhone 6 Eros","Right"," iPhone 6 Plus - Eros Case","<p><span>The &ldquo;Eros&rdquo; case is a trendy fashion statement with its glamorous quilted design and sophisticated leather inner lining. The stylish flip case offers excellent protection, built with strong padding for shock resistance. With accessible card slots and hand straps, this case is a &lsquo;must have&rsquo; fashion accessory for your phone.</span></p> <ul> <li>Glamorous Quilted Design</li> <li>Leather Lining</li> <li>Excellent Protection</li> <li>Wallet function</li> <li>Full Accessibility To All Features</li> </ul>",35,0,49,0,35,0,0,,10,0,0,0,1,1,0,,1,"by option",398,40,01/29/15,01/13/16,"Sale;Sale/Apple;Sale/Apple/iPhone 6^6 Plus;PHONE CASES;PHONE CASES/iPhone;PHONE CASES/iPhone/iPhone 6 Plus ^ 6S Plus","Category ID: 15, Category Name: Sale, Category Path: Sale|Category ID: 115, Category Name: Apple, Category Path: Sale/Apple|Category ID: 164, Category Name: iPhone 6/6 Plus, Category Path: Sale/Apple/iPhone 6^6 Plus|Category ID: 219, Category Name: PHONE CASES, Category Path: PHONE CASES|Category ID: 220, Category Name: iPhone, Category Path: PHONE CASES/iPhone|Category ID: 231, Category Name: iPhone 6 Plus / 6S Plus, Category Path: PHONE CASES/iPhone/iPhone 6 Plus ^ 6S Plus",,"Product Image ID: 3369, Product Image File: EROS_DIARY_1__16465.jpg, Product Image Path: x/765/EROS_DIARY_1__16465.jpg, Product Image URL: http://www.happytel.com/product_images/x/765/EROS_DIARY_1__16465.jpg, Product Image Description: iPhone 6 Plus Case - Leather Case Eros, Product Image Is Thumbnail: 0, Product Image Index: 5|Product Image ID: 3370, Product Image File: EROS_DIARY_2__39636.jpg, Product Image Path: n/534/EROS_DIARY_2__39636.jpg, Product Image URL: http://www.happytel.com/product_images/n/534/EROS_DIARY_2__39636.jpg, Product Image Description: iPhone 6 Plus Case - Leather Case Eros, Product Image Is Thumbnail: 0, Product Image Index: 0|Product Image ID: 3371, Product Image File: EROS_DIARY_BK__58628.jpg, Product Image Path: w/981/EROS_DIARY_BK__58628.jpg, Product Image URL: http://www.happytel.com/product_images/w/981/EROS_DIARY_BK__58628.jpg, Product Image Description: iPhone 6 Case - Leather Case Eros Black, Product Image Is Thumbnail: 0, Product Image Index: 1|Product Image ID: 3373, Product Image File: EROS_DIARY_WH__73369.jpg, Product Image Path: g/016/EROS_DIARY_WH__73369.jpg, Product Image URL: http://www.happytel.com/product_images/g/016/EROS_DIARY_WH__73369.jpg, Product Image Description: iPhone 6 Plus Case - Leather Case Eros, Product Image Is Thumbnail: 0, Product Image Index: 3|Product Image ID: 3374, Product Image File: EROS_DIARY_RED__38572.jpg, Product Image Path: e/758/EROS_DIARY_RED__38572.jpg, Product Image URL: http://www.happytel.com/product_images/e/758/EROS_DIARY_RED__38572.jpg, Product Image Description: iPhone 6 Case - Leather Case Eros Red, Product Image Is Thumbnail: 0, Product Image Index: 4|Product Image ID: 3372, Product Image File: EROS_DIARY_PK__24907.jpg, Product Image Path: a/047/EROS_DIARY_PK__24907.jpg, Product Image URL: http://www.happytel.com/product_images/a/047/EROS_DIARY_PK__24907.jpg, Product Image Description: iPhone 6 Plus Case - Leather Case Eros, Product Image Is Thumbnail: 1, Product Image Index: 2",0,"Delivery Date",0,0,0,,"iPhone 6 Plus - Eros Case","iPhone 6 Plus cases, iPhone 6S Plus cases, fashion cases, Wallet cases, Leather cases, card slots",,,,,"New",0,"Default Tax Class",,,"""Style=Flip Case"";Function=Multi-functional",0
"  SKU",2390,,"S99061790",,,,,,,,,,,,,,"[RB]Colours=Pink",,,,,,,,,0,,,,,,,,,,,,,,,,,99,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",2391,,"S99061795",,,,,,,,,,,,,,"[RB]Colours=Black",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",2392,,"S99061800",,,,,,,,,,,,,,"[RB]Colours=White",,,,,,,,,0,,,,,,,,,,,,,,,,,99,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",2393,,"S99061805",,,,,,,,,,,,,,"[RB]Colours=Red",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",671,,,,,,,,,,,,,,,,"[RB]Colours=Pink",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 671_source_1409277547.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/671_source_1409277547.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
"  Rule",672,,,,,,,,,,,,,,,,"[RB]Colours=Black",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 672_source_1409277557.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/672_source_1409277557.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
"  Rule",673,,,,,,,,,,,,,,,,"[RB]Colours=White",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 673_source_1409277573.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/673_source_1409277573.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
"  Rule",674,,,,,,,,,,,,,,,,"[RB]Colours=Red",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 674_source_1409277585.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/674_source_1409277585.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
"  Rule",675,,,,,,,,,,,,,,,,"[RB]Colours=Green",,,,,,,,,,,,,,,,,,,,0,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
